Código,Regiao,UF,Municipio,Possui Plano de Mobilidade Urbana,Ano de elaboracao,Aprovado em lei ou ato normativo,Instrumento Legal,Numero da Lei,Data da Lei
2312908,NE,CE,Sobral,Sim,2018,Sim,Lei Municipal,1.812/2018,17/12/2018
2313005,NE,CE,SolonÃ³pole,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2313104,NE,CE,Tabuleiro do Norte,Sim,2018,Sim,Lei Complementar,002/2018,13/09/2018
2313203,NE,CE,Tamboril,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2313252,NE,CE,Tarrafas,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2313302,NE,CE,TauÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2313351,NE,CE,TejuÃ§uoca,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2313401,NE,CE,TianguÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2313500,NE,CE,Trairi,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2313559,NE,CE,Tururu,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2313609,NE,CE,Ubajara,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2313708,NE,CE,Umari,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2313757,NE,CE,Umirim,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2313807,NE,CE,Uruburetama,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2313906,NE,CE,Uruoca,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2313955,NE,CE,Varjota,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2314003,NE,CE,VÃ¡rzea Alegre,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2314102,NE,CE,ViÃ§osa do CearÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5300108,CO,DF,BrasÃ­lia,Sim,2011,Sim,Lei Distrital,4.566/2011,04/05/2011
3200102,SE,ES,Afonso ClÃ¡udio,Sim,2016,Sim,Lei Municipal,2.175/2016,05/10/2016
3200169,SE,ES,Ãgua Doce do Norte,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3200136,SE,ES,Ãguia Branca,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3200201,SE,ES,Alegre,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3200300,SE,ES,Alfredo Chaves,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3200359,SE,ES,Alto Rio Novo,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3200409,SE,ES,Anchieta,Sim,2015,Nao,Nao aprovado em lei,,Nao aprovado em lei
3200508,SE,ES,ApiacÃ¡,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3200607,SE,ES,Aracruz,Sim,2015,Sim,Lei Municipal,3.915/2015,22/05/2015
3200706,SE,ES,Atilio Vivacqua,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3200805,SE,ES,Baixo Guandu,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3200904,SE,ES,Barra de SÃ£o Francisco,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3201001,SE,ES,Boa EsperanÃ§a,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3201100,SE,ES,Bom Jesus do Norte,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3201159,SE,ES,Brejetuba,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3201209,SE,ES,Cachoeiro de Itapemirim,Sim,2014,Sim,Lei Ordinaria,7.180/2015,15/04/2015
3201308,SE,ES,Cariacica,Sim,2019,Nao,Nao aprovado em lei,,Nao aprovado em lei
3201407,SE,ES,Castelo,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3201506,SE,ES,Colatina,Sim,2015,Nao,Nao aprovado em lei,,Nao aprovado em lei
3201605,SE,ES,ConceiÃ§Ã£o da Barra,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3201704,SE,ES,ConceiÃ§Ã£o do Castelo,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3201803,SE,ES,Divino de SÃ£o LourenÃ§o,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3201902,SE,ES,Domingos Martins,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3202009,SE,ES,Dores do Rio Preto,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3202108,SE,ES,Ecoporanga,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3202207,SE,ES,FundÃ£o,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3202256,SE,ES,Governador Lindenberg,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3202306,SE,ES,GuaÃ§uÃ­,Sim,2017,Sim,Lei Municipal,4.188/2017,21/12/2017
3202405,SE,ES,Guarapari,Sim,2015,Nao,Nao aprovado em lei,,Nao aprovado em lei
3202454,SE,ES,Ibatiba,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3202504,SE,ES,IbiraÃ§u,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3202553,SE,ES,Ibitirama,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3202603,SE,ES,Iconha,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3202652,SE,ES,Irupi,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3202702,SE,ES,ItaguaÃ§u,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3202801,SE,ES,Itapemirim,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3202900,SE,ES,Itarana,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3203007,SE,ES,IÃºna,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3203056,SE,ES,JaguarÃ©,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3203106,SE,ES,JerÃ´nimo Monteiro,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3203130,SE,ES,JoÃ£o Neiva,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3203163,SE,ES,Laranja da Terra,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3203205,SE,ES,Linhares,Sim,2014,Nao,Nao aprovado em lei,,Nao aprovado em lei
3203304,SE,ES,MantenÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3203320,SE,ES,MarataÃ­zes,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3203346,SE,ES,Marechal Floriano,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3203353,SE,ES,MarilÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3203403,SE,ES,Mimoso do Sul,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3203502,SE,ES,Montanha,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3203601,SE,ES,Mucurici,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3203700,SE,ES,Muniz Freire,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3203809,SE,ES,Muqui,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3203908,SE,ES,Nova VenÃ©cia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204005,SE,ES,Pancas,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204054,SE,ES,Pedro CanÃ¡rio,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204104,SE,ES,Pinheiros,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204203,SE,ES,PiÃºma,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204252,SE,ES,Ponto Belo,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3204302,SE,ES,Presidente Kennedy,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204351,SE,ES,Rio Bananal,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3204401,SE,ES,Rio Novo do Sul,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3204500,SE,ES,Santa Leopoldina,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204559,SE,ES,Santa Maria de JetibÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204609,SE,ES,Santa Teresa,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204658,SE,ES,SÃ£o Domingos do Norte,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3204708,SE,ES,SÃ£o Gabriel da Palha,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204807,SE,ES,SÃ£o JosÃ© do CalÃ§ado,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3204906,SE,ES,SÃ£o Mateus,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3204955,SE,ES,SÃ£o Roque do CanaÃ£,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3205002,SE,ES,Serra,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3205010,SE,ES,Sooretama,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3205036,SE,ES,Vargem Alta,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3205069,SE,ES,Venda Nova do Imigrante,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3205101,SE,ES,Viana,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3205150,SE,ES,Vila PavÃ£o,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
3205176,SE,ES,Vila ValÃ©rio,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
3205200,SE,ES,Vila Velha,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
3205309,SE,ES,VitÃ³ria,Sim,2008,Nao,Nao aprovado em lei,,Nao aprovado em lei
5200050,CO,GO,Abadia de GoiÃ¡s,Sim,2015,Sim,Lei Municipal,564/2015,03/06/2015
5200100,CO,GO,AbadiÃ¢nia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5200134,CO,GO,AcreÃºna,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5200159,CO,GO,AdelÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5200175,CO,GO,Ãgua Fria de GoiÃ¡s,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5200209,CO,GO,Ãgua Limpa,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5200258,CO,GO,Ãguas Lindas de GoiÃ¡s,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5200308,CO,GO,AlexÃ¢nia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5200506,CO,GO,AloÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5200555,CO,GO,Alto Horizonte,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5200605,CO,GO,Alto ParaÃ­so de GoiÃ¡s,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5200803,CO,GO,Alvorada do Norte,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5200829,CO,GO,Amaralina,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5200852,CO,GO,Americano do Brasil,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5200902,CO,GO,AmorinÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5201108,CO,GO,AnÃ¡polis,Sim,2022,Nao,Nao aprovado em lei,,Nao aprovado em lei
5201207,CO,GO,Anhanguera,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5201306,CO,GO,Anicuns,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5201405,CO,GO,Aparecida de GoiÃ¢nia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5201454,CO,GO,Aparecida do Rio Doce,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5201504,CO,GO,AporÃ©,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5201603,CO,GO,AraÃ§u,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5201702,CO,GO,AragarÃ§as,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5201801,CO,GO,AragoiÃ¢nia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5202155,CO,GO,Araguapaz,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5202353,CO,GO,ArenÃ³polis,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5202502,CO,GO,AruanÃ£,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5202601,CO,GO,AurilÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5202809,CO,GO,AvelinÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5203104,CO,GO,Baliza,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5203203,CO,GO,Barro Alto,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5203302,CO,GO,Bela Vista de GoiÃ¡s,Sim,2016,Nao,Nao aprovado em lei,,Nao aprovado em lei
5203401,CO,GO,Bom Jardim de GoiÃ¡s,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5203500,CO,GO,Bom Jesus de GoiÃ¡s,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5203559,CO,GO,BonfinÃ³polis,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5203575,CO,GO,BonÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5203609,CO,GO,Brazabrantes,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5203807,CO,GO,BritÃ¢nia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5203906,CO,GO,Buriti Alegre,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5203939,CO,GO,Buriti de GoiÃ¡s,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5203962,CO,GO,BuritinÃ³polis,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5204003,CO,GO,Cabeceiras,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5204102,CO,GO,Cachoeira Alta,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5204201,CO,GO,Cachoeira de GoiÃ¡s,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5204250,CO,GO,Cachoeira Dourada,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5204300,CO,GO,CaÃ§u,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5204409,CO,GO,CaiapÃ´nia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5204508,CO,GO,Caldas Novas,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5204557,CO,GO,Caldazinha,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5204607,CO,GO,Campestre de GoiÃ¡s,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5204656,CO,GO,CampinaÃ§u,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5204706,CO,GO,Campinorte,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5204805,CO,GO,Campo Alegre de GoiÃ¡s,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5204854,CO,GO,Campo Limpo de GoiÃ¡s,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5204904,CO,GO,Campos Belos,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5204953,CO,GO,Campos Verdes,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5205000,CO,GO,Carmo do Rio Verde,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5205059,CO,GO,CastelÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5205109,CO,GO,CatalÃ£o,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5205208,CO,GO,CaturaÃ­,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5205307,CO,GO,Cavalcante,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5205406,CO,GO,Ceres,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5205455,CO,GO,Cezarina,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5205471,CO,GO,ChapadÃ£o do CÃ©u,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5205497,CO,GO,Cidade Ocidental,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5205513,CO,GO,Cocalzinho de GoiÃ¡s,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5205521,CO,GO,Colinas do Sul,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5205703,CO,GO,CÃ³rrego do Ouro,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5205802,CO,GO,CorumbÃ¡ de GoiÃ¡s,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5205901,CO,GO,CorumbaÃ­ba,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5206206,CO,GO,Cristalina,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5206305,CO,GO,CristianÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5206404,CO,GO,CrixÃ¡s,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5206503,CO,GO,CromÃ­nia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5206602,CO,GO,Cumari,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5206701,CO,GO,DamianÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5206800,CO,GO,DamolÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5206909,CO,GO,DavinÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5207105,CO,GO,Diorama,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5208301,CO,GO,DivinÃ³polis de GoiÃ¡s,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5207253,CO,GO,DoverlÃ¢ndia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5207352,CO,GO,Edealina,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5207402,CO,GO,EdÃ©ia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5207501,CO,GO,Estrela do Norte,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5207535,CO,GO,Faina,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5207600,CO,GO,Fazenda Nova,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5207808,CO,GO,FirminÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5207907,CO,GO,Flores de GoiÃ¡s,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5208004,CO,GO,Formosa,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5208103,CO,GO,Formoso,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5208152,CO,GO,Gameleira de GoiÃ¡s,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5208400,CO,GO,GoianÃ¡polis,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5208509,CO,GO,Goiandira,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5208608,CO,GO,GoianÃ©sia,Sim,2016,Sim,Lei Municipal,3.500/2016,12/12/2016
5208707,CO,GO,GoiÃ¢nia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5208806,CO,GO,Goianira,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5208905,CO,GO,GoiÃ¡s,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5209101,CO,GO,Goiatuba,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5209150,CO,GO,GouvelÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5209200,CO,GO,GuapÃ³,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5209291,CO,GO,GuaraÃ­ta,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5209408,CO,GO,Guarani de GoiÃ¡s,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5209457,CO,GO,Guarinos,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5209606,CO,GO,HeitoraÃ­,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5209705,CO,GO,HidrolÃ¢ndia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5209804,CO,GO,Hidrolina,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5209903,CO,GO,Iaciara,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5209937,CO,GO,InaciolÃ¢ndia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5209952,CO,GO,Indiara,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5210000,CO,GO,Inhumas,Sim,2007,Sim,Lei Municipal,2.675/2017,14/12/2007
5210109,CO,GO,Ipameri,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5210158,CO,GO,Ipiranga de GoiÃ¡s,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5210208,CO,GO,IporÃ¡,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5210307,CO,GO,IsraelÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5210406,CO,GO,ItaberaÃ­,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5210562,CO,GO,Itaguari,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5210604,CO,GO,Itaguaru,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5210802,CO,GO,ItajÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5210901,CO,GO,Itapaci,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5211008,CO,GO,ItapirapuÃ£,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5211206,CO,GO,Itapuranga,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5211305,CO,GO,ItarumÃ£,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5211404,CO,GO,ItauÃ§u,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5211503,CO,GO,Itumbiara,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5211602,CO,GO,IvolÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5211701,CO,GO,Jandaia,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5211800,CO,GO,JaraguÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5211909,CO,GO,JataÃ­,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5212006,CO,GO,Jaupaci,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5212055,CO,GO,JesÃºpolis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5212105,CO,GO,JoviÃ¢nia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5212204,CO,GO,Jussara,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5212253,CO,GO,Lagoa Santa,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5212303,CO,GO,Leopoldo de BulhÃµes,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5212501,CO,GO,LuziÃ¢nia,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
5212600,CO,GO,Mairipotaba,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5212709,CO,GO,MambaÃ­,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
5212808,CO,GO,Mara Rosa,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5212907,CO,GO,MarzagÃ£o,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5212956,CO,GO,MatrinchÃ£,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5213004,CO,GO,MaurilÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
5213053,CO,GO,Mimoso de GoiÃ¡s,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
